vehicle_id,date,hour,minute,latitude,longitude,tire_pressure,speed,temperature,gas_composition
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,0,-8.1448805,-79.0517936,12215.39,93.4,22.0,Pink
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,1,34.199479,119.578364,17703.228,78.7,-0.06,Indigo
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,2,49.954706,15.0305859,6308.355,58.0,-4.19,Fuscia
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,3,34.995728,104.655337,10896.939,131.4,34.19,Blue
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,4,37.8925401,140.5266555,2504.253,227.5,14.05,Green
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,5,38.4687834,48.8728029,2300.072,207.4,5.16,Green
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,6,30.780217,120.644805,9852.028,0.1,12.21,Khaki
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,7,40.280218,-8.4788248,12868.242,213.9,-9.6,Puce
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,8,37.1878209,50.1575212,1277.421,96.4,29.91,Maroon
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,9,-6.4306844,106.7175669,19316.439,111.0,17.87,Pink
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,10,-5.8335001,34.9644426,9019.275,173.5,24.98,Aquamarine
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,11,38.013999,24.4198995,2293.132,204.8,25.63,Maroon
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,12,52.2163528,61.2809373,3104.701,67.3,38.86,Orange
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,13,38.734814,93.330613,4822.982,0.7,6.53,Pink
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,14,59.3462826,18.0843085,2680.192,119.3,-8.12,Turquoise
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,15,35.72154,111.350842,4813.115,118.4,-3.69,Indigo
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,16,37.79446,20.85188,8463.648,297.9,29.99,Maroon
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,17,31.191643,121.389262,4611.078,218.2,30.57,Puce
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,18,9.7457208,123.8401962,3290.653,63.9,10.85,Khaki
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,19,53.9762845,43.8688442,10250.0,34.2,28.02,Purple
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,20,24.513425,117.723153,18560.283,172.4,21.44,Pink
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,21,35.7017899,59.8468432,15401.556,180.3,33.62,Pink
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,22,44.840524,82.353656,6517.541,14.0,17.78,Goldenrod
c876bd01-2830-499a-8430-8cc62389722d,2020-05-22,2,23,18.9237513,-70.4144776,1764.466,205.4,23.52,Turquoise
