vehicle_id,date,hour,minute,latitude,longitude,tire_pressure,speed,temperature,gas_composition
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,0,34.995728,104.655337,10896.939,131.4,34.19,Blue
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,1,-6.8561144,107.5193473,15108.392,73.4,-8.36,Indigo
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,2,50.2923198,27.9814782,8668.885,53.9,29.0,Purple
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,3,22.636828,113.814606,13176.617,51.7,-3.03,Yellow
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,4,41.0872247,-8.1084595,9754.625,282.9,33.55,Maroon
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,5,22.919769,113.618216,7290.369,274.4,18.18,Mauv
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,6,-8.1448805,-79.0517936,12215.39,93.4,22.0,Pink
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,7,41.6088994,-8.7234712,1458.653,107.0,25.93,Fuscia
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,8,-6.4185424,106.8502879,11149.99,273.8,31.14,Purple
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,9,-6.4104949,107.0126076,9128.732,9.5,-6.3,Blue
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,10,25.185809,111.579535,3642.755,274.5,12.1,Pink
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,11,30.2827181,120.1245708,12015.249,2.4,37.96,Red
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,12,15.2586581,100.8677256,13419.904,243.0,36.63,Blue
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,13,46.987383,123.769368,464.688,11.5,39.62,Crimson
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,14,-13.8556,-73.758263,2109.403,288.4,12.52,Mauv
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,15,45.0417524,-73.9260044,4857.905,74.6,12.33,Violet
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,16,51.1434519,40.2997102,2400.634,199.2,12.0,Orange
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,17,8.490877,124.345771,5255.081,67.3,3.16,Violet
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,18,48.8493975,2.4751086,1680.678,265.0,33.61,Violet
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,19,40.8245332,-8.0435522,14994.36,74.5,14.93,Violet
4649493c-e5ac-409e-adbc-3f98168db2da,2020-05-22,2,20,49.5519718,17.3375604,4957.965,103.5,13.71,Green
